Niveau,Nom du niveau,Titre de l'étape,Texte du défi,Description,Conseil,Vidéo,Illustration,Médaille,Fonctionnalités sociales
1,Plouf !,Tête la première,S'immerger complètement et ouvrir les yeux sous l'eau.,Apprenez à mettre la tête sous l'eau en toute confiance. Cet exercice vous aidera à surmonter l'appréhension de l'immersion.,Utilisez des lunettes de natation pour plus de confort et de clarté sous l'eau.,https://www.youtube.com/watch?v=Ucv4ce4Q3B8,https://unsplash.com/fr/photos/fille-nage-sur-la-piscine-ttzU0sZmkpA,Étoile de mer,Non
1,Plouf !,Bulles et souffle,Souffler dans l'eau (bulles) pendant 5 secondes.,Maîtrisez votre respiration en apprenant à expirer sous l'eau. Exercice essentiel pour une nage fluide.,"Prenez une grande inspiration, immergez votre visage et soufflez lentement par le nez.",https://www.youtube.com/watch?v=gUpt3mgET84,https://unsplash.com/fr/photos/personne-nageant-sous-leau-pendant-la-journee-zYeIxH9k5CI,Étoile de mer,Non
1,Plouf !,Marche aquatique,Tenir debout et marcher dans l'eau sans aide.,Développez votre équilibre et votre confiance en marchant dans l'eau.,Commencez dans une zone où l'eau vous arrive à la poitrine et marchez lentement.,https://www.youtube.com/watch?v=RZNErpBs4jw,https://unsplash.com/fr/photos/un-groupe-denfants-dans-une-piscine-1AZzPJWhyMQ,Étoile de mer,Non
2,Canard en marche,Glisse sur le ventre,Glisser sans bouger les bras ni les jambes sur 5 mètres.,Glisser sans bouger les bras ni les jambes sur 5 mètres.,Gardez le corps droit et la tête dans l’eau.,https://www.youtube.com/watch?v=RZNErpBs4jw,https://unsplash.com/fr/photos/homme-aux-seins-nus-dans-leau-pendant-la-journee-G4u7hioTeyM,Caneton,Oui
2,Canard en marche,Petit chien,Se déplacer 5 mètres en battant des jambes et en ramant avec les bras sous l'eau.,Se déplacer 5 mètres en battant des jambes et en ramant avec les bras sous l'eau.,"Restez en surface, regard vers l’avant.",https://www.youtube.com/watch?v=MXGzr9lVXLo,https://unsplash.com/fr/photos/personne-nageant-sur-la-piscine-LTLBUvs4UdQ,Caneton,Oui
2,Canard en marche,Étoile dorsale,S’allonger sur le dos bras et jambes écartés pendant 10 secondes.,S’allonger sur le dos bras et jambes écartés pendant 10 secondes.,Respirez calmement et laissez-vous porter.,https://www.youtube.com/watch?v=gUpt3mgET84,https://unsplash.com/fr/photos/natation-BNWrmpQybQs,Caneton,Oui
3,Flottaison,Planche dorsale,Flotter 10 secondes sur le dos sans bouger.,Flotter 10 secondes sur le dos sans bouger.,Fixez un point au plafond et relaxez-vous.,https://www.youtube.com/watch?v=YduoLrRz9E4,https://unsplash.com/fr/photos/femme-en-bikini-a-pois-vert-et-blanc-allongee-sur-leau-kf4K8833Gx8,Tortue,Oui
3,Flottaison,Planche ventrale,"Flotter 5 secondes face dans l'eau, bras tendus.","Flotter 5 secondes face dans l'eau, bras tendus.","Pensez à l'horizontalité, sans bouger les jambes.",https://www.youtube.com/watch?v=gUpt3mgET84,https://unsplash.com/fr/photos/un-homme-nageant-dans-un-lac-dos-a-la-camera-1o9ayRDZOlM,Tortue,Oui
3,Flottaison,Retour debout,Passer de la flottaison ventrale à la position debout.,Passer de la flottaison ventrale à la position debout.,Utilisez vos bras pour rétablir l’équilibre.,https://www.youtube.com/watch?v=MXGzr9lVXLo,https://unsplash.com/fr/photos/homme-age-debout-dans-leau-dans-une-piscine-interieure-retraite-actif-qui-fait-du-sport-vue-de-dessus-H3fQgaqRSkY,Tortue,Oui
4,Premiers battements,Battements planche,"Faire 10 mètres avec une planche, battements de jambes.","Faire 10 mètres avec une planche, battements de jambes.",Souplesse et régularité sont la clé.,https://www.youtube.com/watch?v=EHJh7vXd9qs,,Hippocampe,Oui
4,Premiers battements,Dos sans planche,"Faire 10 mètres sur le dos, bras le long du corps.","Faire 10 mètres sur le dos, bras le long du corps.",Poussez bien avec les jambes et restez droit.,https://www.youtube.com/watch?v=EHJh7vXd9qs,,Hippocampe,Oui
4,Premiers battements,Dos-ventre,Passer du dos à la position ventrale en nageant.,Passer du dos à la position ventrale en nageant.,Tournez les épaules et accompagnez avec les bras.,https://www.youtube.com/watch?v=RZNErpBs4jw,,Hippocampe,Oui
5,Respire !,Crawl respiration 2 temps,Nager 25 m en crawl en respirant tous les 2 mouvements.,Nager 25 m en crawl en respirant tous les 2 mouvements.,"Soufflez sous l’eau, inspirez latéralement.",https://www.youtube.com/watch?v=EHJh7vXd9qs,,Poisson-lune,Oui
5,Respire !,Crawl 25 m sans arrêt,Nager 25 m en crawl sans pause.,Nager 25 m en crawl sans pause.,Trouvez votre rythme et restez relâché.,https://www.youtube.com/watch?v=ZlYkMiyT9G4,,Poisson-lune,Oui
5,Respire !,Virage culbute,Apprendre le virage culbute au mur.,Apprendre le virage culbute au mur.,Regroupez vite et poussez fort avec les jambes.,https://www.youtube.com/watch?v=2Lh-RIqlh5c,,Poisson-lune,Oui
